adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001104659-25-119500	1859690	ARQIT QUANTUM INC.	7372	GB		LONDON	SW1H 0BF	3 ORCHARD PLACE		44 203 91 70155	GB		LONDON	SW1H 0BF	3 ORCHARD PLACE		KY		000000000			2-ACC	0	0930	20-F	20250930	2025	FY	20251209	2025-12-09 08:26:00.0	0	1	arqq-20250930x20f_htm.xml	1	
0001104659-25-119655	821002	G III APPAREL GROUP LTD /DE/	2300	US	NY	NEW YORK	10018	512 SEVENTH AVE		2126298830	US	NY	NEW YORK	10018	512 SEVENTH AVENUE		US	DE	411590959	ANTE CORP	19891120	1-LAF	0	0131	10-Q	20251031	2025	Q3	20251209	2025-12-09 16:06:00.0	0	1	giii-20251031x10q_htm.xml	1	
0001104659-25-119676	1067294	CRACKER BARREL OLD COUNTRY STORE, INC	5812	US	TN	LEBANON	370880787	PO BOX 787		6154439217	US	TN	LEBANON	37087	PO BOX 787		US	TN	620812904	CBRL GROUP INC	19980730	1-LAF	0	0731	10-Q	20251031	2026	Q1	20251209	2025-12-09 16:29:00.0	0	1	cbrl-20251031x10q_htm.xml	1	
0001104659-25-119775	1368622	AEROVIRONMENT INC	3721	US	VA	ARLINGTON	22202	241 18TH STREET SOUTH, SUITE 650		(703) 418-2828	US	VA	ARLINGTON	22202	241 18TH STREET SOUTH, SUITE 650		US	DE	952705790			1-LAF	0	0430	10-Q	20251031	2026	Q2	20251210	2025-12-09 19:20:00.0	0	1	avav-20251101x10q_htm.xml	1	
0001104659-25-119949	2063863	ELAUWIT CONNECTION, INC.	4899	US	SC	COLUMBIA	29223	1700 ALTA VISTA DRIVE	SUITE 130	704-558-3099	US	SC	COLUMBIA	29223	1700 ALTA VISTA DRIVE	SUITE 130			993101171			4-NON	0	1231	10-Q	20250930	2025	Q3	20251210	2025-12-10 15:08:00.0	0	1	tmb-20250930x10q_htm.xml	1	
0001104659-25-119960	1318484	CITI TRENDS INC	5600	US	GA	SAVANNAH	31405	17 PARK OF COMMERCE BLVD	SUITE 200	912-236-1561	US	GA	SAVANNAH	31405	17 PARK OF COMMERCE BLVD	SUITE 200	US	DE	522150697			2-ACC	0	0131	10-Q	20251031	2025	Q3	20251210	2025-12-10 15:48:00.0	0	1	ctrn-20251101x10q_htm.xml	1	
0001104659-25-119974	916907	SOUTHERN MISSOURI BANCORP, INC.	6036	US	MO	POPLAR BLUFF	63901	2991 OAK GROVE ROAD		573-778-1800	US	MO	POPLAR BLUFF	63901	2991 OAK GROVE ROAD		US	MO	431665523	SOUTHERN MISSOURI BANCORP INC	19940104	2-ACC	0	0630	11-K	20250630			20251210	2025-12-10 16:06:00.0	0	1	smbc-20250630x11k_htm.xml	1	
0001104659-25-120019	1175680	CYTODYN INC.	2834	US	WA	VANCOUVER	98660	1111 MAIN STREET, SUITE 660		360-980-8524	US	WA	VANCOUVER	98660	1111 MAIN STREET, SUITE 660		US	DE	753056237	CYTODYN INC	20031114	4-NON	0	0531	POS AM	20250831			20251210	2025-12-10 17:17:00.0	0	1	cydy-20250831xposam_htm.xml	1	
0001104659-25-120354	1528849	RH	5712	US	CA	CORTE MADERA	94925	15 KOCH ROAD	SUITE K	415-924-1005	US	CA	CORTE MADERA	94925	15 KOCH ROAD	SUITE K	US	DE	453052669	RESTORATION HARDWARE HOLDINGS INC	20110830	1-LAF	0	0131	10-Q	20251031	2025	Q3	20251211	2025-12-11 17:21:00.0	0	1	rh-20251101x10q_htm.xml	1	
0001104659-25-120462	922358	FERRELLGAS PARTNERS L P	5900	US	MO	LIBERTY	64068	ONE LIBERTY PLAZA		816-792-1600	US	MO	LIBERTY	64068	ONE LIBERTY PLAZA	MAILDROP #24	US	DE	431698480			4-NON	0	0731	10-Q	20251031	2026	Q1	20251212	2025-12-12 06:36:00.0	0	1	fgp-20251031x10q_htm.xml	4	1012493 922360 922359
0001104659-25-120598	1083490	SUNRISE REAL ESTATE GROUP INC	6513			SHANGHAI		SUITE 1502	NO. 333 ZHAOJIABANG ROAD	8621-64220505			SHANGHAI		SUITE 1502	NO. 333 ZHAOJIABANG ROAD	US	TX	752713701	SUNRISE REAL ESTATE DEVELOPMENT GROUP INC	20040330	4-NON	0	1231	10-Q	20250930	2025	Q3	20251212	2025-12-12 14:24:00.0	0	1	srre-20250930x10q_htm.xml	1	
0001104659-25-120642	56873	KROGER CO	5411	US	OH	CINCINNATI	45201	1014 VINE ST		5137624437	US	OH	CINCINNATI	45201	1014 VINE ST		US	OH	310345740			1-LAF	0	0131	10-Q	20251031	2025	Q3	20251212	2025-12-12 16:04:00.0	0	1	kr-20251108x10q_htm.xml	1	
0001104659-25-120644	6207	AMREP CORP.	6552	US	PA	HAVERTOWN	19083	850 WEST CHESTER PIKE	SUITE 205	610-487-0905	US	PA	HAVERTOWN	19083	850 WEST CHESTER PIKE	SUITE 205	US	OK	590936128	AMREP CORP	19920703	4-NON	0	0430	10-Q	20251031	2026	Q2	20251212	2025-12-12 16:05:00.0	0	1	axr-20251031x10q_htm.xml	1	
0001104659-25-120673	65172	MESABI TRUST	6795	US	NY	NEW YORK	10019	C/O DEUTSCHE BANK TRUST COMPANY AMERICAS	1 COLUMBUS CIRCLE, 17TH FLOOR	904-271-2520	US	NY	NEW YORK	10019	C/O DEUTSCHE BANK TRUST COMPANY AMERICAS	1 COLUMBUS CIRCLE, 17TH FLOOR	US	NY	136022277			4-NON	0	0131	10-Q	20251031	2026	Q3	20251212	2025-12-12 16:31:00.0	0	1	msb-20251031x10q_htm.xml	1	
0001104659-25-120690	1435508	FIRST SAVINGS FINANCIAL GROUP, INC.	6035	US	IN	JEFFERSONVILLE	47130	702 NORTH SHORE DRIVE	SUITE 300	812-283-0724	US	IN	JEFFERSONVILLE	47130	702 NORTH SHORE DRIVE	SUITE 300	US	IN	371567871	FIRST SAVINGS FINANCIAL GROUP INC	20080519	2-ACC	0	0930	10-K	20250930	2025	FY	20251212	2025-12-12 16:53:00.0	0	1	fsfg-20250930x10k_htm.xml	1	
0001104659-25-120755	1994624	SCANTECH AI SYSTEMS INC.	3825	US	NY	NEW YORK	10036	1177 AVENUE OF THE AMERICA, SUITE 5100		8886221218	US	NY	NEW YORK	10036	1177 AVENUE OF THE AMERICA, SUITE 5100		US	DE	933502562			4-NON	0	1231	10-Q	20250930	2025	Q3	20251215	2025-12-12 19:34:00.0	0	1	tmb-20250930x10q_htm.xml	1	
0001104659-25-120879	1540013	QUIPT HOME MEDICAL CORP.	8090	US	KY	WILDER	41076	1019 TOWN DRIVE		859-878-2220	US	KY	WILDER	41076	1019 TOWN DRIVE		CA	BC	000000000	PROTECH HOME MEDICAL CORP.	20200714	2-ACC	0	0930	10-K	20250930	2025	FY	20251215	2025-12-15 07:45:00.0	0	1	qipt-20250930x10k_htm.xml	1	
0001104659-25-121185	1357971	ENERGY SERVICES OF AMERICA CORP	1623	US	WV	HUNTINGTON	25701	75 WEST 3RD AVE.		(304) 522-3868	US	WV	HUNTINGTON	25701	75 WEST 3RD AVE.		US	DE	204606266	ENERGY SERVICES ACQUISITION CORP.	20060330	2-ACC	0	0930	10-K	20250930	2025	FY	20251215	2025-12-15 16:32:00.0	0	1	esoa-20250930x10k_htm.xml	1	
0001104659-25-121786	1725123	CANGO INC.	7372			HONG KONG	000	ROOM 2605, HARBOUR CENTRE	25 HARBOUR ROAD	86-21-3183-0016			HONG KONG	000	ROOM 2605, HARBOUR CENTRE	25 HARBOUR ROAD	KY		000000000			2-ACC	0	1231	F-3	20241231	2024	FY	20251217	2025-12-17 06:20:00.0	0	1	cang-20241231xf3_htm.xml	1	
0001104659-25-122032	1976908	JIADE LTD	8200			CHENGDU CITY, SICHUAN PROVINCE	610000	UNIT 2-02, PUNINGDUN BUSINESS PLAZA	NO.1702&1706 MINJIANG RD, JINJIAN DIST.	400-028-0776			CHENGDU CITY, SICHUAN PROVINCE	610000	UNIT 2-02, PUNINGDUN BUSINESS PLAZA	NO.1702&1706 MINJIANG RD, JINJIAN DIST.	KY		000000000			4-NON	0	1231	6-K	20250630	2025	Q2	20251217	2025-12-17 16:06:00.0	0	1	jdzg-20251217x6k_htm.xml	1	
0001104659-25-122302	886128	FUELCELL ENERGY INC	3620	US	CT	DANBURY	06810	3 GREAT PASTURE ROAD		2038256000	US	CT	DANBURY	06810	3 GREAT PASTURE ROAD		US	DE	060853042	ENERGY RESEARCH CORP /NY/	19930328	2-ACC	0	1031	10-K	20251031	2025	FY	20251218	2025-12-18 07:42:00.0	0	1	fcel-20251031x10k_htm.xml	1	
0001104659-25-122321	315189	DEERE & CO	3523	US	IL	MOLINE	61265-8098	ONE JOHN DEERE PLACE		(309) 765-8000	US	IL	MOLINE	61265-8098	ONE JOHN DEERE PLACE		US	DE	362382580			1-LAF	1	1031	10-K	20251031	2025	FY	20251218	2025-12-18 08:15:00.0	0	1	de-20251102x10k_htm.xml	1	
0001104659-25-122363	27673	DEERE JOHN CAPITAL CORP	6153	US	WI	MADISON	53705-0328	P. O. BOX 5328		(800) 438-7394	US	IL	MOLINE	61265-8098	ONE JOHN DEERE PLACE		US	DE	362386361	DEERE JOHN CREDIT CO	19890130	4-NON	1	1031	10-K	20251031	2025	FY	20251218	2025-12-18 09:37:00.0	0	1	jdcc-20251102x10k_htm.xml	1	
0001104659-25-123106	1978811	GOUVERNEUR BANCORP, INC./MD/	6036	US	NY	GOUVERNEUR	13642	42 CHURCH STREET		315-287-2600	US	NY	GOUVERNEUR	13642	42 CHURCH STREET		US	MD	000000000			4-NON	0	0930	10-K	20250930	2025	FY	20251219	2025-12-19 16:06:00.0	0	1	tmb-20250930x10k_htm.xml	1	
0001104659-25-123200	23217	CONAGRA BRANDS INC.	2000	US	IL	CHICAGO	60654	222 W. MERCHANDISE MART PLAZA	SUITE 1300	312-549-5000	US	IL	CHICAGO	60654	222 W. MERCHANDISE MART PLAZA	SUITE 1300	US	DE	470248710	CONAGRA FOODS INC /DE/	20001006	1-LAF	0	0531	10-Q	20251130	2026	Q2	20251219	2025-12-19 16:30:00.0	0	1	tmb-20251123x10q_htm.xml	1	
0001104659-25-123203	2047497	RITHM ACQUISITION CORP.	6770	US	NY	NEW YORK	10003	799 BROADWAY	8TH FLOOR	(212) 850-7770	US	NY	NEW YORK	10003	799 BROADWAY	8TH FLOOR	KY		000000000			4-NON	0	0930	10-K	20250930	2025	FY	20251219	2025-12-19 16:31:00.0	0	1	racun-20250930x10k_htm.xml	1	
0001104659-25-123222	866787	AUTOZONE INC	5531	US	TN	MEMPHIS	38103	123 SOUTH FRONT ST	DEPT 8074	9014956500	US	TN	MEMPHIS	38103	123 S. FRONT ST.	DEPT 8074	US	NV	621482048			1-LAF	0	0831	10-Q	20251130	2026	Q1	20251219	2025-12-19 16:43:00.0	0	1	azo-20251122x10q_htm.xml	1	
0001104659-25-123264	1649989	OUTLOOK THERAPEUTICS, INC.	2836	US	NJ	ISELIN	08830	111 S. WOOD AVENUE	UNIT #100	6096193990	US	NJ	ISELIN	08830	111 S. WOOD AVENUE	UNIT #100	US	DE	383982704	ONCOBIOLOGICS, INC.	20150804	4-NON	0	0930	10-K	20250930	2025	FY	20251219	2025-12-19 17:02:00.0	0	1	otlk-20250930x10k_htm.xml	1	
0001104659-25-123303	1967306	MERCER BANCORP, INC.	6036	US	OH	CELINA	45822	1100 IRMSCHER BLVD		(419) 586-5158	US	OH	CELINA	45822	1100 IRMSCHER BLVD				923452469			4-NON	0	0930	10-K	20250930	2025	FY	20251219	2025-12-19 17:30:00.0	0	1	tmb-20250930x10k_htm.xml	1	
0001104659-25-123342	744452	BNB PLUS CORP.	8734	US	NY	STONY BROOK	11790	50 HEALTH SCIENCES DRIVE		631-240-8800	US	NY	STONY BROOK	11790	50 HEALTH SCIENCES DRIVE		US	DE	592262718	APPLIED DNA SCIENCES INC	20021218	4-NON	0	0930	10-K	20250930	2025	FY	20251222	2025-12-19 18:35:00.0	0	1	tmb-20250930x10k_htm.xml	1	
0001104659-25-123760	1927578	NETCLASS TECHNOLOGY INC	7372			SINGAPORE	089057	UNIT 11-03, ABI PLAZA	11 KEPPEL ROAD	65 91821823			SINGAPORE	089057	UNIT 11-03, ABI PLAZA	11 KEPPEL ROAD	KY		000000000			4-NON	0	0930	6-K	20250331	2025	Q2	20251222	2025-12-22 16:31:00.0	0	1	ntcl-20250331x6k_htm.xml	1	
0001104659-25-123776	2019804	TERRESTRIAL ENERGY INC. /DE/	3443	US	NC	CHARLOTTE	28217	2730 W. TYVOLA ROAD, SUITE 100		203-930-2200	US	NC	CHARLOTTE	28217	2730 W. TYVOLA ROAD, SUITE 100		US	DE	981785406	HCM II ACQUISITION CORP.	20240415	4-NON	0	1231	S-1/A	20250930			20251222	2025-12-23 11:40:00.0	0	1	tmb-20250930xs1a_htm.xml	1	
0001104659-25-123847	836690	INNOVATIVE SOLUTIONS & SUPPORT INC	7371	US	PA	EXTON	19341	720 PENNSYLVANIA DRIVE		610 646 9800	US	PA	EXTON	19341	720 PENNSYLVANIA DRIVE		US	PA	232507402			4-NON	0	0930	10-K	20250930	2025	FY	20251223	2025-12-22 17:54:00.0	0	1	issc-20250930x10k_htm.xml	1	
0001104659-25-124188	1852019	IX ACQUISITION CORP.	4899			LONDON	W1K 5JH	53 DAVIES STREET		44 (0) 203 983 045			LONDON	W1K 5JH	53 DAVIES STREET		KY		000000000			4-NON	0	1231	10-Q	20250630	2025	Q2	20251223	2025-12-23 16:06:00.0	0	1	ixaqu-20250630x10q_htm.xml	1	
0001104659-25-124208	1852019	IX ACQUISITION CORP.	4899			LONDON	W1K 5JH	53 DAVIES STREET		44 (0) 203 983 045			LONDON	W1K 5JH	53 DAVIES STREET		KY		000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251223	2025-12-23 16:08:00.0	0	1	ixaqu-20250930x10q_htm.xml	1	
0001104659-25-124926	1889823	DEFSEC TECHNOLOGIES INC.	7372			OTTAWA	K2K 2T8	80 HINES RD, SUITE 300		613-319-0537			OTTAWA	K2K 2T8	80 HINES RD, SUITE 300		CA	BC	000000000	KWESST MICRO SYSTEMS INC.	20211021	4-NON	0	0930	20-F	20250930	2025	FY	20251229	2025-12-29 17:30:00.0	0	1	tmb-20250930x20f_htm.xml	1	
0001104659-25-124947	1906364	FG MERGER II CORP.	6770	US	IL	ITASCA	60143	104 S. WALNUT STREET	UNIT 1A	847-773-1665	US	IL	ITASCA	60143	104 S. WALNUT STREET	UNIT 1A	US	NV	000000000	BOXABL INC.	20200707	4-NON	0	1231	S-4/A	20250930			20251230	2025-12-29 19:06:00.0	0	1	tmb-20250930xs4a_htm.xml	2	1816937
0001104659-25-125146	1918102	DEEP FISSION, INC.	4911	US	CA	BERKELEY	94705	2831 GARBER STREET		(707) 400-0778	US	CA	BERKELEY	94705	2831 GARBER STREET		US	DE	874265302	SURFSIDE ACQUISITION INC.	20220317	4-NON	0	1231	S-1/A	20250930			20251230	2025-12-30 14:06:00.0	0	1	tmb-20250930xs1a_htm.xml	1	
0001104659-25-125666	1846839	SOL STRATEGIES INC.	6199			TORONTO	M5X 1B1	217 QUEEN STREET WEST	SUITE 401	416-480-2488			TORONTO	M5X 1B1	217 QUEEN STREET WEST	SUITE 401	CA	ON	000000000	CYPHERPUNK HOLDINGS INC.	20210218		0	0930	40-F	20250930	2025	FY	20251231	2025-12-31 17:25:00.0	0	1	stke-20250930x40f_htm.xml	1	
0001107843-25-000038	1107843	QUALYS, INC.	7372	US	CA	FOSTER CITY	94404	919 E. HILLSDALE BLVD.		650-801-6100	US	CA	FOSTER CITY	94404	919 E. HILLSDALE BLVD.		US	DE	770534145	QUALYS INC	20000225	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 17:06:00.0	0	1	qlys-20250930_htm.xml	1	
0001108134-25-000020	1108134	BEACON FINANCIAL CORP	6036	US	MA	BOSTON	02116	131 CLARENDON STREET		617-641-9206	US	MA	BOSTON	02116	131 CLARENDON STREET		US	DE	043510455	BERKSHIRE HILLS BANCORP INC	20000229	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 16:42:00.0	0	1	bbt-20250930_htm.xml	1	
0001108205-25-000107	1108205	CURIS INC	2836	US	MA	LEXINGTON	02421	128 SPRING STREET	BUILDING C, SUITE 500	617-503-6500	US	MA	LEXINGTON	02421	128 SPRING STREET	BUILDING C, SUITE 500	US	DE	043505116			4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:09:00.0	0	1	cris-20250930_htm.xml	1	
0001108426-25-000109	1108426	TXNM ENERGY INC	4911	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW		5052412700	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW	ATTN: MS 1045 - ROBERT BISCHOFF	US	NM	850019030	PNM RESOURCES INC	20010618	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 16:21:00.0	0	1	pnm-20250930_htm.xml	3	81023 22767
0001108524-25-000238	1108524	SALESFORCE, INC.	7372	US	CA	SAN FRANCISCO	94105	SALESFORCE TOWER	415 MISSION STREET 3RD FL	415-901-7000	US	CA	SAN FRANCISCO	94105	SALESFORCE TOWER	415 MISSION STREET 3RD FL	US	DE	943320693	SALESFORCE.COM, INC.	20190806	1-LAF	0	0131	10-Q	20251031	2026	Q3	20251204	2025-12-03 18:47:00.0	0	1	crm-20251031_htm.xml	1	
0001109357-25-000182	1109357	EXELON CORP	4931	US	IL	CHICAGO	60680-5379	10 S. DEARBORN STREET	PO BOX 805379	8004833220	US	IL	CHICAGO	60680-5379	10 S. DEARBORN STREET	PO BOX 805379	US	PA	232990190	EXELON CORP	20180928	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 13:15:00.0	0	1	exc-20250930_htm.xml	8	8192 1135971 78100 79732 27879 9466 22606
0001109448-25-000067	1109448	ALLIANCEBERNSTEIN L.P.	6282	US	TN	NASHVILLE	37203	501 COMMERCE STREET		6156220000	US	TN	NASHVILLE	37203	501 COMMERCE STREET		US	DE	134064930	ALLIANCE CAPITAL MANAGEMENT L P	20000316	4-NON	0	1231	10-Q	20250930	2025	Q3	20251023	2025-10-23 06:50:00.0	0	1	ab-20250930_htm.xml	1	
0001110803-25-000073	1110803	ILLUMINA, INC.	3826	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		8582024500	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		US	DE	330804655	ILLUMINA INC	20000331	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 16:40:00.0	0	1	ilmn-20250928_htm.xml	1	
0001111335-25-000172	1111335	VISTEON CORP	3714	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		800-847-8366	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		US	DE	383519512			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251023	2025-10-23 07:11:00.0	0	1	vc-20250930_htm.xml	1	
0001111711-25-000055	1111711	NISOURCE INC.	4931	US	IN	MERRILLVILLE	46410-6272	801 EAST 86TH AVE		2196475200	US	IN	MERRILLVILLE	46410-6272	801 EAST 86TH AVE		US	DE	352108964	NISOURCE INC/DE	20001103	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 06:42:00.0	0	1	nix-20250930_htm.xml	1	
0001111928-25-000168	1111928	IPG PHOTONICS CORP	3674	US	MA	MARLBOROUGH	01752	377 SIMARANO DRIVE		5083731100	US	MA	MARLBOROUGH	01752	377 SIMARANO DRIVE		US	DE	043444218			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:39:00.0	0	1	ipgp-20250930_htm.xml	1	
0001114483-25-000134	1114483	INTEGER HOLDINGS CORP	3845	US	TX	PLANO	75024	5830 GRANITE PARKWAY., SUITE 1150		(214) 618-5243	US	TX	PLANO	75024	5830 GRANITE PARKWAY., SUITE 1150		US	DE	161531026	GREATBATCH, INC.	20050531	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251023	2025-10-23 16:23:00.0	0	1	itgr-20250926_htm.xml	1	
0001115055-25-000194	1115055	PINNACLE FINANCIAL PARTNERS INC	6021	US	TN	NASHVILLE	37203	21 PLATFORM WAY SOUTH		6157443700	US	TN	NASHVILLE	37203	21 PLATFORM WAY SOUTH		US	TN	621812853			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:17:00.0	0	1	pnfp-20250930_htm.xml	1	
0001116132-25-000025	1116132	TAPESTRY, INC.	3100	US	NY	NEW YORK	10001	10 HUDSON YARDS		2129468400	US	NY	NEW YORK	10001	10 HUDSON YARDS		US	MD	522242751	COACH INC	20000605	1-LAF	0	0630	10-Q	20250930	2026	Q1	20251106	2025-11-06 06:48:00.0	0	1	tpr-20250927_htm.xml	1	
0001116463-25-000054	1116463	ORASURE TECHNOLOGIES INC	3841	US	PA	BETHLEHEM	18015	220 E FIRST ST		5036416115	US	PA	BETHLEHEM	18015	220 E FIRST ST		US	DE	364370966			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 17:23:00.0	0	1	osur-20250930_htm.xml	1	
0001121484-25-000080	1121484	OIL STATES INTERNATIONAL, INC	3533	US	TX	HOUSTON	77002	THREE ALLEN CENTER	333 CLAY STREET, SUITE 4620	713-652-0582	US	TX	HOUSTON	77002	THREE ALLEN CENTER	333 CLAY STREET, SUITE 4620	US	DE	760476605	OIL STATES INTERNATIONAL INC	20000808	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 11:55:00.0	0	1	ois-20250930_htm.xml	1	
0001122976-25-000088	1122976	AVIENT CORP	2821	US	OH	AVON LAKE	44012	33587 WALKER ROAD		440-930-1000	US	OH	AVON LAKE	44012	33587 WALKER ROAD				341730488	POLYONE CORP	20000830	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 13:12:00.0	0	1	avnt-20250930_htm.xml	1	
0001123360-25-000077	1123360	GLOBAL PAYMENTS INC	7389	US	GA	ATLANTA	30326	3550 LENOX ROAD		7708298030	US	GA	ATLANTA	30326	3550 LENOX ROAD		US	GA	582567903			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 07:16:00.0	0	1	gpn-20250930_htm.xml	1	
0001123360-25-000080	1123360	GLOBAL PAYMENTS INC	7389	US	GA	ATLANTA	30326	3550 LENOX ROAD		7708298030	US	GA	ATLANTA	30326	3550 LENOX ROAD		US	GA	582567903			1-LAF	0	1231	8-K	20250331			20251104	2025-11-04 17:23:00.0	0	1	gpn-20251104_htm.xml	1	
0001123852-25-000017	1123852	NORTHERN STATES POWER CO	4931	US	MN	MINNEAPOLIS	55401	414 NICOLLET MALL		6123305500	US	MN	MINNEAPOLIS	55401	414 NICOLLET MALL		US	MN	411967505			4-NON	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 14:20:00.0	0	1	nspm-20250930_htm.xml	1	
0001124140-25-000091	1124140	EXACT SCIENCES CORP	8071	US	WI	MADISON	53719	5505 ENDEAVOR LANE		608-284-5700	US	WI	MADISON	53719	5505 ENDEAVOR LANE				200478229	EXACT CORP	20000919	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 17:11:00.0	0	1	exas-20250930_htm.xml	1	
0001124198-25-000073	1124198	FLUOR CORP	1600	US	TX	IRVING	75039	6700 LAS COLINAS BLVD		4693987000	US	TX	IRVING	75039	6700 LAS COLINAS BLVD		US	DE	330927079			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-06 19:01:00.0	0	1	flr-20250930_htm.xml	1	
0001124796-25-000154	1124796	NLIGHT, INC.	3674	US	WA	CAMAS	98607	4637 NW 18TH AVENUE		360-566-4460	US	WA	CAMAS	98607	4637 NW 18TH AVENUE		US	DE	912066376	NLIGHT PHOTONICS CORP	20000925	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 16:38:00.0	0	1	lasr-20250930_htm.xml	1	
0001125345-25-000108	1125345	MACROGENICS INC	2834	US	MD	ROCKVILLE	20850	9704 MEDICAL CENTER DRIVE		301-251-5172	US	MD	ROCKVILLE	20850	9704 MEDICAL CENTER DRIVE		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	2025-11-12 16:04:00.0	0	1	mgnx-20250930_htm.xml	1	
0001125376-25-000170	1125376	ENSIGN GROUP, INC	8051	US	CA	SAN JUAN CAPISTRANO	92675	29222 RANCHO VIEJO RD.	SUITE 127	(949) 487-9500	US	CA	SAN JUAN CAPISTRANO	92675	29222 RANCHO VIEJO RD.	SUITE 127			330861263	ENSIGN GROUP INC	20000930	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 16:05:00.0	0	1	ensg-20250930_htm.xml	1	
0001127537-25-000059	1127537	PULMONX CORP	3841	US	CA	REDWOOD CITY	94063	700 CHESAPEAKE DRIVE		650-364-0400	US	CA	REDWOOD CITY	94063	700 CHESAPEAKE DRIVE		US	DE	000000000	PULMONX	20001031	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	2025-11-12 16:26:00.0	0	1	lung-20250930_htm.xml	1	
0001127703-25-000013	1127703	PROASSURANCE CORP	6331	US	AL	BIRMINGHAM	35209	100 BROOKWOOD PLACE		2058774400	US	AL	BIRMINGHAM	35209	100 BROOKWOOD PLACE		US	DE	631261433			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:19:00.0	0	1	pra-20250930_htm.xml	1	
0001128361-25-000046	1128361	HOPE BANCORP INC	6021	US	CA	LOS ANGELES	90010	3200 WILSHIRE BLVD	SUITE 1400	2136391700	US	CA	LOS ANGELES	90010	3200 WILSHIRE BLVD	SUITE 1400	US	DE	954849715	BBCN BANCORP INC	20111207	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:11:00.0	0	1	hope-20250930_htm.xml	1	
0001130310-25-000137	1130310	CENTERPOINT ENERGY INC	4911	US	TX	HOUSTON	77002	1111 LOUISIANA ST.		7132073000	US	TX	HOUSTON	77002	1111 LOUISIANA ST.		US	TX	740694415	RELIANT ENERGY REGCO INC	20001220	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251023	2025-10-23 06:04:00.0	0	1	cnp-20250930_htm.xml	1	
0001130310-25-000143	1130310	CENTERPOINT ENERGY INC	4911	US	TX	HOUSTON	77002	1111 LOUISIANA ST.		7132073000	US	TX	HOUSTON	77002	1111 LOUISIANA ST.		US	TX	740694415	RELIANT ENERGY REGCO INC	20001220	1-LAF	0	1231	10-Q/A	20250930	2025	Q3	20251107	2025-11-07 16:23:00.0	0	1	cnp-20250930_htm.xml	3	1042773 48732
0001130713-25-000078	1130713	BED BATH & BEYOND, INC.	5961	US	UT	MURRAY	84123	433 W. ASCENSION WAY, 3RD FLOOR		8019473100	US	UT	MURRAY	84123	433 W. ASCENSION WAY, 3RD FLOOR		US	DE	870634302	BEYOND, INC.	20231103	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251027	2025-10-27 16:23:00.0	0	1	byon-20250930_htm.xml	1	
0001133311-25-000020	1133311	TRAVELZOO	7310	US	NY	NEW YORK	10022	590 MADISON AVENUE	35TH FLOOR	2124844900	US	NY	NEW YORK	10022	590 MADISON AVENUE	35TH FLOOR	US	DE	364415727	TRAVELZOO INC	20010126	4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 15:25:00.0	0	1	tzoo-20250930_htm.xml	1	
